Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
9.3,-0.394491,-0.702275,1.897017,1.883628,0.0,0.0
9.4,-0.36837,-0.696954,1.872726,1.89254,0.0,0.0
9.5,-0.341922,-0.692626,1.852284,1.900082,0.0,0.0
9.6,-0.315355,-0.689443,1.83588,1.906102,0.0,0.0
9.7,-0.288869,-0.687532,1.823676,1.910537,0.0,0.0
9.8,-0.262653,-0.686983,1.815762,1.913278,0.0,0.0
9.9,-0.236896,-0.687868,1.812229,1.914385,0.0,0.0
10.0,-0.211785,-0.690213,1.813076,1.91384,0.0,0.0
10.1,-0.187511,-0.694011,1.818235,1.911615,0.0,0.0
10.2,-0.164266,-0.69922,1.827575,1.907676,0.0,0.0
10.3,-0.142252,-0.705782,1.840963,1.90215,0.0,0.0
10.4,-0.121679,-0.713612,1.858222,1.895186,0.0,0.0
10.5,-0.102769,-0.722592,1.879105,1.886892,0.0,0.0
10.6,-0.085758,-0.732587,1.90334,1.877415,0.0,0.0
10.7,-0.070892,-0.743442,1.930622,1.866932,0.0,0.0
10.8,-0.058437,-0.754983,1.960598,1.855578,0.0,0.0
10.9,-0.048669,-0.767026,1.992895,1.843521,0.0,0.0
11.0,-0.041878,-0.779374,2.027112,1.830931,0.0,0.0
11.1,-0.03836,-0.791828,2.062819,1.817979,0.0,0.0
11.2,-0.038413,-0.804185,2.099559,1.804839,0.0,0.0
11.3,-0.042323,-0.816246,2.136847,1.791685,0.0,0.0
11.4,-0.050347,-0.827823,2.174162,1.778695,0.0,0.0
11.5,-0.062694,-0.838744,2.210952,1.766046,0.0,0.0
11.6,-0.079491,-0.848867,2.246626,1.753922,0.0,0.0
11.7,-0.100748,-0.858084,2.280557,1.74251,0.0,0.0
11.8,-0.126322,-0.86634,2.312089,1.732,0.0,0.0
11.9,-0.155874,-0.873632,2.340546,1.722584,0.0,0.0
12.0,-0.188843,-0.880012,2.365251,1.714449,0.0,0.0
12.1,-0.224432,-0.885579,2.385561,1.707772,0.0,0.0
12.2,-0.261634,-0.890455,2.400906,1.702706,0.0,0.0
12.3,-0.299283,-0.894754,2.410836,1.699374,0.0,0.0
12.4,-0.336145,-0.898543,2.415065,1.697851,0.0,0.0
12.5,-0.371022,-0.90182,2.413505,1.698157,0.0,0.0
12.6,-0.402858,-0.904507,2.406278,1.700261,0.0,0.0
12.7,-0.430821,-0.906462,2.393701,1.704075,0.0,0.0
12.8,-0.454341,-0.90752,2.376254,1.709463,0.0,0.0
12.9,-0.473112,-0.907525,2.354523,1.716224,0.0,0.0
13.0,-0.487067,-0.906369,2.329175,1.724188,0.0,0.0
13.1,-0.496326,-0.904005,2.300903,1.733167,0.0,0.0
13.2,-0.501146,-0.900458,2.270389,1.742962,0.0,0.0
13.3,-0.501867,-0.895813,2.238288,1.753383,0.0,0.0
13.4,-0.498876,-0.890207,2.205216,1.764241,0.0,0.0
