x,y,z
3.704925087029413699e-01,-1.032231464381793556e-01,8.528428093645483432e-02
3.837832062731930671e-01,-1.056184660160572053e-01,8.628762541806019037e-02
3.972066543359192847e-01,-1.063178258409999966e-01,8.729096989966554643e-02
4.105483226647964057e-01,-1.053259570086281238e-01,8.829431438127090248e-02
4.235969817900063217e-01,-1.026744933786786634e-01,8.929765886287625853e-02
4.361480472237259098e-01,-9.842121713072879419e-02,9.030100334448161459e-02
4.480067865458593479e-01,-9.264889235503044607e-02,9.130434782608695676e-02
4.589913390836201090e-01,-8.546370915049505967e-02,9.230769230769231282e-02
4.689355013859119459e-01,-7.699336677241552795e-02,9.331103678929765499e-02
4.776912358856553742e-01,-6.738482992894116730e-02,9.431438127090301105e-02
4.851308649861887368e-01,-5.680179728216930291e-02,9.531772575250836710e-02
4.911489182176312362e-01,-4.542192549198886820e-02,9.632107023411370927e-02
4.956636059931475158e-01,-3.343385568505809202e-02,9.732441471571906533e-02
4.986178997540079982e-01,-2.103409198661843754e-02,9.832775919732440750e-02
4.999802048215840067e-01,-8.423783681530530587e-03,9.933110367892976356e-02
4.997446189658366067e-01,4.194536350967206263e-03,1.003344481605351196e-01
4.979307764436479156e-01,1.662020406669397279e-02,1.013377926421404618e-01
4.945832839467932951e-01,2.865761532688553687e-02,1.023411371237458178e-01
4.897707614206318061e-01,4.011930486345717528e-02,1.033444816053511600e-01
4.835845069665043461e-01,5.082886467737930680e-02,1.043478260869565161e-01
4.761368109244388802e-01,6.062365645532706571e-02,1.053511705685618721e-01
4.675589496560220715e-01,6.935727634314264867e-02,1.063545150501672143e-01
4.579988944264112849e-01,7.690173480721396171e-02,1.073578595317725703e-01
4.476187750452553793e-01,8.314931926955206054e-02,1.083612040133779125e-01
4.365921415052724242e-01,8.801411263364823656e-02,1.093645484949832686e-01
4.251010697025853768e-01,9.143314663359557171e-02,1.103678929765886246e-01
4.133331593951959371e-01,9.336717504056529782e-02,1.113712374581939668e-01
4.014784738286965582e-01,9.380105804682656312e-02,1.123745819397993229e-01
3.897264709182157727e-01,9.274375551431693343e-02,1.133779264214046789e-01
3.782629755227808199e-01,9.022793311814368555e-02,1.143812709030100350e-01
3.672672411960735683e-01,8.630919163249979598e-02,1.153846153846153910e-01
3.569091478722012933e-01,8.106493559747227073e-02,1.163879598662207332e-01
3.473465792851643252e-01,7.459290327486643724e-02,1.173913043478260892e-01
3.387230205763859248e-01,6.700938506033583819e-02,1.183946488294314314e-01
3.311654125768678236e-01,5.844716228618158926e-02,1.193979933110367875e-01
3.247822947297134277e-01,4.905320255131628837e-02,1.204013377926421435e-01
3.196622636238051207e-01,3.898615128913898026e-02,1.214046822742474857e-01
3.158727687261442818e-01,2.841366217830179966e-02,1.224080267558528418e-01
3.134592612201766437e-01,1.750961117503979647e-02,1.234113712374581839e-01
3.124447059756706446e-01,6.451240370467267553e-03,1.244147157190635400e-01
3.128294606901736441e-01,-4.583721463869062755e-03,1.254180602006688960e-01
3.145915202512519770e-01,-1.541991488713207945e-02,1.264214046822742521e-01
3.176871184703054518e-01,-2.588713646902522994e-02,1.274247491638795804e-01
3.220516736279747105e-01,-3.582301185454458969e-02,1.284280936454849364e-01
3.276010588392737621e-01,-4.507551323783071801e-02,1.294314381270902925e-01
3.342331731794078720e-01,-5.350528223633923414e-02,1.304347826086956486e-01
3.418297848877920320e-01,-6.098772272765913549e-02,1.314381270903010046e-01
3.502586138590716991e-01,-6.741483232216875787e-02,1.324414715719063329e-01
3.593756170978456566e-01,-7.269674572277141922e-02,1.334448160535116890e-01
3.690274379101408098e-01,-7.676296818871329586e-02,1.344481605351170450e-01
3.790539773705294824e-01,-7.956328258889990013e-02,1.354515050167224011e-01
3.892910450687864232e-01,-8.106831901202153634e-02,1.364548494983277571e-01
3.995730453220602829e-01,-8.126978150437744186e-02,1.374581939799330854e-01
4.097356549436990680e-01,-8.018033213868898390e-02,1.384615384615384692e-01
4.196184492821552481e-01,-7.783313818598175393e-02,1.394648829431438253e-01
4.290674345652066846e-01,-7.428109357735530882e-02,1.404682274247491536e-01
4.379374465771213032e-01,-6.959573101612338830e-02,1.414715719063545096e-01
4.460943783196958945e-01,-6.386584595122660191e-02,1.424749163879598657e-01
4.534172025127642947e-01,-5.719585807394010624e-02,1.434782608695652217e-01
4.597997585170753854e-01,-4.970393998303085370e-02,1.444816053511705778e-01
4.651522774458112242e-01,-4.151994611832946630e-02,1.454849498327759061e-01
4.694026237969489146e-01,-3.278317793817717152e-02,1.464882943143812621e-01
4.724972368082210883e-01,-2.364002357139622507e-02,1.474916387959866182e-01
4.744017598263767788e-01,-1.424151177903639105e-02,1.484949832775919742e-01
4.751013512069224287e-01,-4.740820995776073334e-03,1.494983277591973303e-01
4.746006755322096371e-01,4.709215522470791560e-03,1.505016722408026586e-01
4.729235791675746037e-01,1.395856783640642314e-02,1.515050167224080147e-01
4.701124592816349201e-01,2.286239121707387897e-02,1.525083612040133707e-01
